Year,Average Closing Price,Year Open,Year High,Year Low,Year Range Price,Year Close,Annual % Change
1969,41.1,41.8,43.75,35.0,8.75,35.21,-0.161
1970,35.96,35.13,39.19,34.78,4.41,37.38,0.062
1971,40.8,37.33,43.9,37.33,6.57,43.5,0.164
1972,58.17,43.73,70.0,43.73,26.27,64.7,0.487
1973,97.12,64.99,127.0,64.1,62.9,112.25,0.735
1974,158.76,114.75,197.5,114.75,82.75,187.5,0.67
1975,160.87,185.0,186.25,128.75,57.5,140.25,-0.252
1976,124.8,140.35,140.35,103.05,37.3,134.55,-0.041
1977,147.84,136.1,168.15,129.4,38.75,165.6,0.231
1978,193.57,168.6,243.65,166.3,77.35,224.5,0.356
1979,307.01,227.15,524.0,216.55,307.45,524.0,1.334
1980,614.75,559.0,843.0,474.0,369.0,589.5,0.125
1981,459.16,592.0,599.25,391.75,207.5,400.0,-0.322
1982,376.11,399.0,488.5,297.0,191.5,448.0,0.12
1983,423.71,452.75,511.5,374.75,136.75,381.5,-0.148
1984,360.65,384.0,406.85,303.25,103.6,309.0,-0.19
1985,317.42,306.25,339.3,285.0,54.3,327.0,0.058
1986,368.2,327.1,442.75,326.0,116.75,390.9,0.195
1987,446.84,402.4,502.75,392.6,110.15,486.5,0.245
1988,436.78,484.1,485.3,389.05,96.25,410.15,-0.157
1989,381.27,413.6,417.15,358.1,59.05,401.0,-0.022
1990,383.73,401.65,421.4,346.75,74.65,391.0,-0.025
1991,362.34,392.5,403.7,343.5,60.2,353.4,-0.096
1992,343.87,351.2,359.3,330.2,29.1,332.9,-0.058
1993,360.05,329.4,406.7,326.5,80.2,390.65,0.174
1994,384.16,395.0,397.5,370.25,27.25,382.5,-0.021
1995,384.07,381.4,396.95,372.45,24.5,386.7,0.011
1996,387.73,387.1,416.25,368.3,47.95,369.55,-0.044
1997,331.0,367.8,367.8,283.05,84.75,289.2,-0.217
1998,294.12,287.7,314.6,273.4,41.2,287.45,-0.006
1999,278.86,288.25,326.25,252.9,73.35,290.85,0.012
2000,279.29,282.05,316.6,263.8,52.8,272.65,-0.063
2001,271.19,272.8,292.85,256.7,36.15,276.5,0.014
2002,310.08,278.1,348.5,277.8,70.7,342.75,0.24
2003,363.83,342.2,417.25,319.75,97.5,417.25,0.217
2004,409.53,415.2,455.75,373.5,82.25,438.0,0.05
2005,444.99,426.8,537.5,411.5,126.0,513.0,0.171
2006,604.34,520.75,725.75,520.75,205.0,635.7,0.239
2007,696.43,640.75,841.75,608.3,233.45,836.5,0.316
2008,872.37,840.75,1023.5,692.5,331.0,865.0,0.034
2009,973.66,869.75,1218.25,813.0,405.25,1104.0,0.276
2010,1226.66,1113.0,1426.0,1052.25,373.75,1410.25,0.277
2011,1573.16,1405.5,1896.5,1316.0,580.5,1574.5,0.117
2012,1668.86,1590.0,1790.0,1537.5,252.5,1664.0,0.057
2013,1409.51,1681.5,1692.5,1192.75,499.75,1201.5,-0.278
2014,1266.06,1219.75,1379.0,1144.5,234.5,1199.25,-0.002
2015,1158.86,1184.25,1298.0,1049.6,248.4,1060.2,-0.116
2016,1251.92,1075.2,1372.6,1073.6,299.0,1151.7,0.086
2017,1260.39,1162.0,1351.2,1162.0,189.2,1296.5,0.126
2018,1268.93,1312.8,1360.25,1176.7,183.55,1281.65,-0.012
2019,1393.34,1287.2,1542.6,1270.05,272.55,1523.0,0.188
2020,1773.73,1520.55,2058.4,1472.35,586.05,1895.1,0.244
2021,1798.89,1946.6,1954.4,1678.0,276.4,1828.6,-0.035
2022,1864.11,1800.1,2043.3,1785.92,257.38,1985.0,0.086
